timestamp,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20
0.0,-7.185710870409655e-11,-0.12229075541681943,-0.1218533758139312,-0.1220090836723491,-0.12212090801339572,1.837222359117515e-10,47.561176449063915,47.7351324326097,47.52602437870848,47.74430976098607,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
3.4333950142057875e-9,2.5200552547315752e-5,-0.12229490534098326,-0.12182590657023722,-0.12203843639175271,-0.12211863733224275,3.162272245046365e-5,47.56117651592168,47.735132439711776,47.5260243777042,47.744309760206804,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
6.866790028411575e-9,5.040097406957298e-5,-0.12229905524299396,-0.12179843754805178,-0.12206778888610428,-0.12211636666973208,6.324501749101503e-5,47.56117658279609,47.735132446795895,47.52602437672229,47.74430975940647,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
3.4606657193414093e-6,0.025297064264047424,-0.12646224412419635,-0.09427919365708722,-0.15147981634428168,-0.11984171997716532,0.031749055572572744,47.561252234755976,47.73513052715498,47.5260346588992,47.744298337385615,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
6.914464648654407e-6,0.05033497059502502,-0.13060235212018279,-0.06698786439587662,-0.18065998915873052,-0.1175862469115599,0.06318384452642294,47.561344572678365,47.735110591677135,47.526067393579275,47.744265767499506,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
1.0368263577967405e-5,0.07516071659303754,-0.13471872230370982,-0.03992815836650805,-0.2096042471579839,-0.11535025257781045,0.0943632465511723,47.561453446868484,47.73507279334749,47.526122404489726,47.744212223191965,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
3.873124671477001e-5,0.2706159440204186,-0.16754714069896423,0.17310083968752144,-0.43790486705536863,-0.09776035994382958,0.3402470203223901,47.56295327703678,47.734106994495,47.527393237022316,47.743002206140346,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
6.709422985157262e-5,0.4498918399075944,-0.1983977428573323,0.36846692315293295,-0.6480472924973779,-0.08165504449521506,0.5664884379873804,47.565467918395306,47.73203979174864,47.530046171055396,47.74049529197697,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
9.545721298837523e-5,0.6116528291972502,-0.2269802432697967,0.544708326913563,-0.8384057271642437,-0.06716043526931166,0.7713355486829455,47.56890106574386,47.72897098972033,47.533963644878675,47.736805783945044,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.00012382019612517786,0.754874185378918,-0.2530473585695348,0.7006990199458617,-1.007708221771659,-0.054377779227874276,0.9534151321074222,47.57314989666434,47.72500779863366,47.53901812717155,47.73205705658301,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.00016399910589554072,0.924655073436995,-0.28525537625331965,0.8854905667649796,-1.209715536922575,-0.03934963517634528,1.170443282717563,47.58032916021321,47.71811010902365,47.547826950269716,47.72380332491635,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.0002041780156659036,1.055053461626161,-0.3116336827286177,1.027208616276686,-1.3665090521354497,-0.028013997666070198,1.338565757630996,47.58861749676769,47.709972954583655,47.55824672361317,47.7140681806157,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.00024435692543626645,1.1461616656458997,-0.33194504356943716,1.1259156578439455,-1.4779439860283095,-0.02040056258347767,1.4576080250531136,47.5977057629444,47.70092385995382,47.56987710459964,47.7032340725394,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.0002513271181147852,1.1580099438403335,-0.3348430120661923,1.1387049608364606,-1.4926927589523824,-0.019457138364769283,1.4732992192736305,47.5993454931899,47.699280673167756,47.571994034645236,47.701265520175504,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.0002582973107933039,1.168711807303363,-0.33755538023546044,1.1502377399272257,-1.5061094775974042,-0.01862386056778642,1.4875482283638954,47.60099844660919,47.69762159121555,47.57413316745891,47.699277440972914,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.00026526750347182263,1.1782772256633245,-0.3400825270441733,1.160524679638173,-1.5182044911686752,-0.017900013719522937,1.50036611676003,47.602663085890654,47.69594825848511,47.57629245857773,47.69727177412298,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.0002812364168844452,1.1959760458885278,-0.3451775566151374,1.1794691811314213,-1.5410038084495754,-0.016649139424449445,1.524414137727663,47.60651143830006,47.692070988972425,47.58130286113704,47.69262236162699,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.00029720533029706773,1.2079107346380695,-0.349312169476266,1.1920904685839617,-1.55707838500818,-0.01595753056622703,1.5411782289738534,47.610395104769104,47.68814680800962,47.58638428867832,47.687913580129475,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
0.0003131742437096903,1.2142417835940231,-0.35249854025437743,1.198561617018998,-1.5666008939343161,-0.01581259736317997,1.550843650678052,47.6142965370238,47.68419456326385,47.5915131414715,47.68316774752245,0.0,0.0,0.0,0.0,0.0,0.0,-9.4e-322,0.0,0.0,0.0
